attribute,group,n,approval_rate,actual_default_rate,mean_predicted_pd,calibration_error,true_positive_rate,disparate_impact_ratio,di_flag_below_0_8,tpr_gap_for_attribute
SEX,Female,4605,0.5496199782844734,0.20564603691639521,0.2130008190870285,0.007354782170633289,0.7729672650475184,1.0,False,0.0023136338288860525
SEX,Male,2895,0.5025906735751295,0.2459412780656304,0.2366088628768921,-0.009332415188738313,0.7752808988764045,0.9144330508942993,False,0.0023136338288860525
AGE band,26-35,3273,0.562175374274366,0.19370608004888482,0.21027755737304688,0.01657147732416206,0.7744479495268138,1.0,False,0.1313559322033898
AGE band,36-45,2114,0.5444654683065279,0.23320719016083255,0.21668298542499542,-0.016524204735837128,0.7525354969574036,0.9684975422648183,False,0.1313559322033898
AGE band,46-55,953,0.521511017838405,0.24763903462749212,0.22776895761489868,-0.01987007701259344,0.7330508474576272,0.9276660659701629,False,0.1313559322033898
AGE band,56+,219,0.4337899543378995,0.2694063926940639,0.2590053677558899,-0.01040102493817402,0.864406779661017,0.7716274568195354,True,0.1313559322033898
AGE band,<=25,941,0.42826780021253985,0.2518597236981934,0.26116806268692017,0.009308338988726739,0.8354430379746836,0.7618046250519799,True,0.1313559322033898
MARRIAGE,married,3482,0.5393452039058013,0.22630672027570362,0.22334951162338257,-0.0029572086523210472,0.7690355329949239,1.0,False,0.3076923076923077
MARRIAGE,other,83,0.42168674698795183,0.3132530120481928,0.263058602809906,-0.050194409238286775,0.6923076923076923,0.7818494424984281,True,0.3076923076923077
MARRIAGE,single,3921,0.5271614384085692,0.21525121142565673,0.22016401588916779,0.004912804463511056,0.7808056872037915,0.9774100790940563,False,0.3076923076923077
MARRIAGE,undocumented,14,0.42857142857142855,0.07142857142857142,0.21796414256095886,0.14653557113238744,1.0,0.7946143313555453,True,0.3076923076923077
